Municipio,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,25/11/2019 00:00,32.5
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,26/11/2019 00:00,34.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,27/11/2019 00:00,33.3
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,28/11/2019 00:00,35.1
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,29/11/2019 00:00,31.3
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,30/11/2019 00:00,30.6
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,01/12/2019 00:00,29.1
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,02/12/2019 00:00,34.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,03/12/2019 00:00,33.6
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,04/12/2019 00:00,33.6
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,05/12/2019 00:00,31.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,06/12/2019 00:00,32.5
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,07/12/2019 00:00,30.5
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,08/12/2019 00:00,31.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,09/12/2019 00:00,31.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,10/12/2019 00:00,33.7
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,11/12/2019 00:00,30.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,12/12/2019 00:00,31.6
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,13/12/2019 00:00,32.6
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,14/12/2019 00:00,28.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,15/12/2019 00:00,30
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,16/12/2019 00:00,32.6
