city,housecode_complete,house,location,time,temp,rh,dewpt
Neiva,NE1-in,NE1,in,2019-09-05 16:00:00,34.36,34.24,16.36
Neiva,NE1-in,NE1,in,2019-09-05 20:00:00,31.99,40.34,16.85
Neiva,NE1-in,NE1,in,2019-09-06 0:00:00,30.09,45.00,16.87
Neiva,NE1-in,NE1,in,2019-09-06 4:00:00,28.50,47.21,16.18
Neiva,NE1-in,NE1,in,2019-09-06 8:00:00,28.59,48.10,16.56
Neiva,NE1-in,NE1,in,2019-09-06 12:00:00,31.94,40.50,16.87
Neiva,NE1-in,NE1,in,2019-09-06 16:00:00,33.37,38.46,17.33
Neiva,NE1-in,NE1,in,2019-09-06 20:00:00,30.84,45.04,17.56
Neiva,NE1-in,NE1,in,2019-09-07 0:00:00,29.49,45.52,16.51
Neiva,NE1-in,NE1,in,2019-09-07 4:00:00,28.15,45.40,15.25
Neiva,NE1-in,NE1,in,2019-09-07 8:00:00,28.23,46.08,15.55
Neiva,NE1-in,NE1,in,2019-09-07 12:00:00,32.49,35.37,15.24
Neiva,NE1-in,NE1,in,2019-09-07 16:00:00,33.34,33.41,15.09
Neiva,NE1-in,NE1,in,2019-09-07 20:00:00,31.44,37.07,15.04
Neiva,NE1-in,NE1,in,2019-09-08 0:00:00,29.00,46.71,16.47
Neiva,NE1-in,NE1,in,2019-09-08 4:00:00,27.89,48.91,16.18
Neiva,NE1-in,NE1,in,2019-09-08 8:00:00,28.14,49.14,16.48
Neiva,NE1-in,NE1,in,2019-09-08 12:00:00,32.52,32.48,13.94
Neiva,NE1-in,NE1,in,2019-09-08 16:00:00,34.82,27.73,13.48
Neiva,NE1-in,NE1,in,2019-09-08 20:00:00,32.98,34.78,15.40
Neiva,NE1-in,NE1,in,2019-09-09 0:00:00,30.68,44.08,17.08
Neiva,NE1-in,NE1,in,2019-09-09 4:00:00,29.32,45.57,16.37
Neiva,NE1-in,NE1,in,2019-09-09 8:00:00,29.36,47.15,16.95
Neiva,NE1-in,NE1,in,2019-09-09 12:00:00,32.72,37.40,16.31
Neiva,NE1-in,NE1,in,2019-09-09 16:00:00,33.31,36.07,16.26
Neiva,NE1-in,NE1,in,2019-09-09 20:00:00,29.80,48.80,17.89
Neiva,NE1-in,NE1,in,2019-09-10 0:00:00,28.41,52.00,17.62
Neiva,NE1-in,NE1,in,2019-09-10 4:00:00,26.28,57.62,17.28
Neiva,NE1-in,NE1,in,2019-09-10 8:00:00,26.81,58.64,18.05
Neiva,NE1-in,NE1,in,2019-09-10 12:00:00,31.51,40.58,16.51
Neiva,NE1-in,NE1,in,2019-09-10 16:00:00,34.23,33.17,15.75
Neiva,NE1-in,NE1,in,2019-09-10 20:00:00,31.08,44.82,17.70
Neiva,NE1-in,NE1,in,2019-09-11 0:00:00,29.88,46.63,17.24
Neiva,NE1-in,NE1,in,2019-09-11 4:00:00,28.90,49.48,17.29
Neiva,NE1-in,NE1,in,2019-09-11 8:00:00,28.84,49.20,17.14
Neiva,NE1-in,NE1,in,2019-09-11 12:00:00,33.43,36.59,16.59
Neiva,NE1-in,NE1,in,2019-09-11 16:00:00,35.20,32.71,16.37
Neiva,NE1-in,NE1,in,2019-09-11 20:00:00,32.58,38.76,16.75
Neiva,NE1-in,NE1,in,2019-09-12 0:00:00,31.00,44.11,17.38
Neiva,NE1-in,NE1,in,2019-09-12 4:00:00,28.77,50.76,17.57
Neiva,NE1-in,NE1,in,2019-09-12 8:00:00,29.04,49.88,17.54
Neiva,NE1-in,NE1,in,2019-09-12 12:00:00,33.49,35.74,16.27
Neiva,NE1-in,NE1,in,2019-09-12 16:00:00,35.85,30.55,15.86
